feature,column_index
AMT_CREDIT_SUM_DEBT,178
AMT_CREDIT_SUM_LIMIT,179
AMT_CREDIT_SUM_OVERDUE,180
DAYS_CREDIT_UPDATE,181
AMT_ANNUITY_BAVG,182
CNT_INSTALMENT,184
CNT_INSTALMENT_FUTURE,185
SK_DPD_CAVG,186
SK_DPD_DEF_CAVG,187
SK_ID_PREV_IAVG,189
NUM_INSTALMENT_VERSION,190
NUM_INSTALMENT_NUMBER,191
DAYS_INSTALMENT,192
DAYS_ENTRY_PAYMENT,193
AMT_INSTALMENT,194
AMT_PAYMENT,195
SK_ID_CURR_CNT_BUREAU,196
SK_ID_CURR_CNT_CRED_CARD,197
SK_ID_CURR_CNT_POS_CASH,198
SK_ID_CURR_CNT_INSTALL,199
